Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        438  1B5 00097BC3 GdipPathIterHasCurve
        439  1B6 00097B21 GdipPathIterIsValid
        440  1B7 000978F0 GdipPathIterNextMarker
        441  1B8 00019C1F GdipPathIterNextMarkerPath
        442  1B9 000977E0 GdipPathIterNextPathType
        443  1BA 00097604 GdipPathIterNextSubpath
        444  1BB 00097713 GdipPathIterNextSubpathPath
        445  1BC 00097C59 GdipPathIterRewind
        446  1BD 000A225F GdipPlayMetafileRecord
        447  1BE 000A4357 GdipPrivateAddFontFile
        448  1BF 000A43D5 GdipPrivateAddMemoryFont
        449  1C0 00009B72 GdipRecordMetafile
        450  1C1 00009C75 GdipRecordMetafileFileName
        451  1C2 000A33A3 GdipRecordMetafileFileNameI
        452  1C3 000A3302 GdipRecordMetafileI
        453  1C4 000A3447 GdipRecordMetafileStream
        454  1C5 000A3525 GdipRecordMetafileStreamI
        455  1C6 0005AF16 GdipReleaseDC
        456  1C7 0009DAB0 GdipRemovePropertyItem
        457  1C8 0002C11B GdipResetClip
        458  1C9 0009E9DB GdipResetImageAttributes
        459  1CA 0009B3BF GdipResetLineTransform
        460  1CB 0009F557 GdipResetPageTransform
        461  1CC 0001F846 GdipResetPath
        462  1CD 0009B3BF GdipResetPathGradientTransform
        463  1CE 0009BCAA GdipResetPenTransform
        464  1CF 0009B3BF GdipResetTextureTransform
        465  1D0 0005B5D2 GdipResetWorldTransform
        466  1D1 0005EA94 GdipRestoreGraphics
        467  1D2 0001928C GdipReversePath
        468  1D3 0009AC93 GdipRotateLineTransform
        469  1D4 0000F531 GdipRotateMatrix
        470  1D5 0009AC93 GdipRotatePathGradientTransform
        471  1D6 0009BFAB GdipRotatePenTransform
        472  1D7 0009AC93 GdipRotateTextureTransform
        473  1D8 0002B4CD GdipRotateWorldTransform
        474  1D9 0009D436 GdipSaveAdd
        475  1DA 0009D4B6 GdipSaveAddImage
        476  1DB 0005EA25 GdipSaveGraphics
        477  1DC 0009D3AA GdipSaveImageToFile
        478  1DD 0009D31E GdipSaveImageToStream
        479  1DE 0009ABD1 GdipScaleLineTransform
        480  1DF 0001F8CE GdipScaleMatrix
        481  1E0 0009ABD1 GdipScalePathGradientTransform
        482  1E1 0009BEEC GdipScalePenTransform
        483  1E2 0009ABD1 GdipScaleTextureTransform
        484  1E3 00011AD2 GdipScaleWorldTransform
        485  1E4 0009CF62 GdipSetAdjustableArrowCapFillState
        486  1E5 0009CC85 GdipSetAdjustableArrowCapHeight
